DATASET_ID,SUBJECT_ID,SESSION_ID,TRIAL_ID,WALKING_SPEED
1,5,35,9,1.54
1,5,35,10,1.54
1,5,35,11,1.53
1,5,35,12,1.51
1,5,35,13,1.52
1,5,35,14,1.53
1,5,35,15,1.55
1,5,36,1,1.56
1,5,36,2,1.58
1,5,36,3,1.54
1,5,36,4,1.52
1,5,36,5,1.52
1,5,36,6,1.56
1,5,36,7,1.59
1,5,36,8,1.54
1,5,36,9,1.54
1,5,36,10,1.55
1,5,36,11,1.55
1,5,36,12,1.56
1,5,36,13,1.53
1,5,36,14,1.55
1,5,36,15,1.6
1,5,37,1,1.54
1,5,37,2,1.53
1,5,37,3,1.52
1,5,37,4,1.56
1,5,37,5,1.59
1,5,37,6,1.53
1,5,37,7,1.51
1,5,37,8,1.54
1,5,37,9,1.53
1,5,37,10,1.59
1,5,37,11,1.58
1,5,37,12,1.55
1,5,37,13,1.54
1,5,37,14,1.56
1,5,37,15,1.57
1,5,38,1,1.58
1,5,38,2,1.54
1,5,38,3,1.57
1,5,38,4,1.56
1,5,38,5,1.61
1,5,38,6,1.57
1,5,38,7,1.56
1,5,38,8,1.56
1,5,38,9,1.58
1,5,38,10,1.59
1,5,38,11,1.57
1,5,38,12,1.59
1,5,38,13,1.58
1,5,38,14,1.59
1,5,38,15,1.6
1,5,39,1,1.57
1,5,39,2,1.63
1,5,39,3,1.6
1,5,39,4,1.64
1,5,39,5,1.61
1,5,39,6,1.59
1,5,39,7,1.59
1,5,39,8,1.61
1,5,39,9,1.62
1,5,39,10,1.56
1,5,39,11,1.59
1,5,39,12,1.61
1,5,39,13,1.61
1,5,39,14,1.6
1,5,39,15,1.61
1,5,40,1,1.62
1,5,40,2,1.68
1,5,40,3,1.64
1,5,40,4,1.63
1,5,40,5,1.66
1,5,40,6,1.59
1,5,40,7,1.6
1,5,40,8,1.57
1,5,40,9,1.59
1,5,40,10,1.58
1,5,40,11,1.61
1,5,40,12,1.58
1,5,40,13,1.61
1,5,40,14,1.6
1,5,40,15,1.57
1,6,41,1,1.62
1,6,41,2,1.73
1,6,41,3,1.7
1,6,41,4,1.75
1,6,41,5,1.7
1,6,41,6,1.78
1,6,41,7,1.74
1,6,41,8,1.73
1,6,41,9,1.72
1,6,41,10,1.75
1,6,41,11,1.74
1,6,41,12,1.77
1,6,41,13,1.66
1,6,41,14,1.75
1,6,41,15,1.73
1,6,42,1,1.64
1,6,42,2,1.73
1,6,42,3,1.63
1,6,42,4,1.67
1,6,42,5,1.69
1,6,42,6,1.67
1,6,42,7,1.65
1,6,42,8,1.64
1,6,42,9,1.71
1,6,42,10,1.73
1,6,42,11,1.65
1,6,42,12,1.66
1,6,42,13,1.62
1,6,42,14,1.65
1,6,42,15,1.68
1,6,43,1,1.69
1,6,43,2,1.69
1,6,43,3,1.69
1,6,43,4,1.76
1,6,43,5,1.7
1,6,43,6,1.7
1,6,43,7,1.63
1,6,43,8,1.66
1,6,43,9,1.68
1,6,43,10,1.62
1,6,43,11,1.67
1,6,43,12,1.62
1,6,43,13,1.62
1,6,43,14,1.6
1,6,43,15,1.66
1,6,44,1,1.77
1,6,44,2,1.79
1,6,44,3,1.75
1,6,44,4,1.31
1,6,44,5,1.75
1,6,44,6,1.72
1,6,44,7,1.83
1,6,44,8,1.84
1,6,44,9,1.83
1,6,44,10,1.78
1,6,44,11,1.72
1,6,44,12,1.71
1,6,44,13,1.7
1,6,44,14,1.83
1,6,44,15,1.76
1,6,45,1,1.76
1,6,45,2,1.7
1,6,45,3,1.73
1,6,45,4,1.64
1,6,45,5,1.65
1,6,45,6,1.79
1,6,45,7,1.7
1,6,45,8,1.66
1,6,45,9,1.67
1,6,45,10,1.68
1,6,45,11,1.69
1,6,45,12,1.68
1,6,45,13,1.68
1,6,45,14,1.65
1,6,45,15,1.67
1,6,46,1,1.65
1,6,46,2,1.73
1,6,46,3,1.68
1,6,46,4,1.65
1,6,46,5,1.64
1,6,46,6,1.7
1,6,46,7,1.7
1,6,46,8,1.68
1,6,46,9,1.73
1,6,46,10,1.65
1,6,46,11,1.7
1,6,46,12,1.73
1,6,46,13,1.7
1,6,46,14,1.7
1,6,46,15,1.65
1,6,47,1,1.76
1,6,47,2,1.74
1,6,47,3,1.74
1,6,47,4,1.68
1,6,47,5,1.71
1,6,47,6,1.77
1,6,47,7,1.75
1,6,47,8,1.72
1,6,47,9,1.7
1,6,47,10,1.66
1,6,47,11,1.71
1,6,47,12,1.73
1,6,47,13,1.73
1,6,47,14,1.67
1,6,47,15,1.78
1,6,48,1,1.66
1,6,48,2,1.68
1,6,48,3,1.65
1,6,48,4,1.59
1,6,48,5,1.64
1,6,48,6,1.63
1,6,48,7,1.67
1,6,48,8,1.64
1,6,48,9,1.62
1,6,48,10,1.6
1,6,48,11,1.62
1,6,48,12,1.62
1,6,48,13,1.57
1,6,48,14,1.59
1,6,48,15,1.68
1,7,49,1,1.4
1,7,49,2,1.53
1,7,49,3,1.59
1,7,49,4,1.54
1,7,49,5,1.59
1,7,49,6,1.57
1,7,49,7,1.62
1,7,49,8,1.68
1,7,49,9,1.64
1,7,49,10,1.64
1,7,49,11,1.67
1,7,49,12,1.64
1,7,49,13,1.57
1,7,49,14,1.61
1,7,49,15,1.59
1,7,49,16,1.69
1,7,50,1,1.59
1,7,50,2,1.54
1,7,50,3,1.56
1,7,50,4,1.61
1,7,50,5,1.63
1,7,50,6,1.55
1,7,50,7,1.61
1,7,50,8,1.53
1,7,50,9,1.49
1,7,50,10,1.55
1,7,50,11,1.61
1,7,50,12,1.56
1,7,50,13,1.58
1,7,50,14,1.55
1,7,50,15,1.59
1,7,51,1,1.62
1,7,51,2,1.58
1,7,51,3,1.57
1,7,51,4,1.67
1,7,51,5,1.72
1,7,51,6,1.76
1,7,51,7,1.74
1,7,51,8,1.63
1,7,51,9,1.71
1,7,51,10,1.71
1,7,51,11,1.67
1,7,51,12,1.63
1,7,51,13,1.77
1,7,51,14,1.69
1,7,51,15,1.74
1,7,51,16,1.79
1,7,52,1,1.61
1,7,52,2,1.6
1,7,52,3,1.64
1,7,52,4,1.67
1,7,52,5,1.68
1,7,52,6,1.65
1,7,52,7,1.7
1,7,52,8,1.7
1,7,52,9,1.76
1,7,52,10,1.66
1,7,52,11,1.64
1,7,52,12,1.67
1,7,52,13,1.64
1,7,52,14,1.7
1,7,52,15,1.69
1,7,53,1,1.63
1,7,53,2,1.67
1,7,53,3,1.63
1,7,53,4,1.65
1,7,53,5,1.64
1,7,53,6,1.63
1,7,53,7,1.62
1,7,53,8,1.61
1,7,53,9,1.63
1,7,53,10,1.63
1,7,53,11,1.68
1,7,53,12,1.68
1,7,53,13,1.67
1,7,53,14,1.81
1,7,53,15,1.68
1,7,54,1,1.64
1,7,54,2,1.72
1,7,54,3,1.59
1,7,54,4,1.69
1,7,54,5,1.66
1,7,54,6,1.62
1,7,54,7,1.63
1,7,54,8,1.65
1,7,54,9,1.63
1,7,54,10,1.67
1,7,54,11,1.67
1,7,54,12,1.63
1,7,54,13,1.61
1,7,54,14,1.65
1,7,54,15,1.67
1,7,55,1,1.74
1,7,55,2,1.71
1,7,55,3,1.66
1,7,55,4,1.72
1,7,55,5,1.73
1,7,55,6,1.72
1,7,55,7,1.65
1,7,55,8,1.74
1,7,55,9,1.74
1,7,55,10,1.68
1,7,55,11,1.7
1,7,55,12,1.69
1,7,55,13,1.72
1,7,55,14,1.65
1,7,55,15,1.76
1,7,56,1,1.75
1,7,56,2,1.65
1,7,56,3,1.71
1,7,56,4,1.64
1,7,56,5,1.71
1,7,56,6,1.66
1,7,56,7,1.65
1,7,56,8,1.68
1,7,56,9,1.62
1,7,56,10,1.64
1,7,56,11,1.67
1,7,56,12,1.64
1,7,56,13,1.61
1,7,56,14,1.65
1,7,56,15,1.76
1,8,57,1,1.58
1,8,57,2,1.63
1,8,57,3,1.65
1,8,57,4,1.62
1,8,57,5,1.61
1,8,57,6,1.55
1,8,57,7,1.65
1,8,57,8,1.65
1,8,57,9,1.63
1,8,57,10,1.67
1,8,57,11,1.68
1,8,57,12,1.64
1,8,57,13,1.62
1,8,57,14,1.64
1,8,57,15,1.62
1,8,57,16,1.62
1,8,58,1,1.75
1,8,58,2,1.73
1,8,58,3,1.6
1,8,58,4,1.69
1,8,58,5,1.62
1,8,58,6,1.73
1,8,58,7,1.75
1,8,58,8,1.62
1,8,58,9,1.71
1,8,58,10,1.6
1,8,58,11,1.6
1,8,58,12,1.69
1,8,58,13,1.68
1,8,58,14,1.77
1,8,59,1,1.75
1,8,59,2,1.76
1,8,59,3,1.7
1,8,59,4,1.67
1,8,59,5,1.76
1,8,59,6,1.68
1,8,59,7,1.76
1,8,59,8,1.66
1,8,59,9,1.65
1,8,59,10,1.67
1,8,59,11,1.74
1,8,59,12,1.73
1,8,59,13,1.74
1,8,59,14,1.69
1,8,59,15,1.73
1,8,60,1,1.7
1,8,60,2,1.75
1,8,60,3,1.67
1,8,60,4,1.67
1,8,60,5,1.76
1,8,60,6,1.75
1,8,60,7,1.64
1,8,60,8,1.62
1,8,60,9,1.68
1,8,60,10,1.64
1,8,60,11,1.68
1,8,60,12,1.6
1,8,60,13,1.67
1,8,60,14,1.64
1,8,60,15,1.65
1,8,60,16,1.65
1,8,61,1,1.63
1,8,61,2,1.75
1,8,61,3,1.65
1,8,61,4,1.7
1,8,61,5,1.7
1,8,61,6,1.67
1,8,61,7,1.75
1,8,61,8,1.65
1,8,61,9,1.75
1,8,61,10,1.64
1,8,61,11,1.74
1,8,61,12,1.62
1,8,61,13,1.76
1,8,61,14,1.69
1,8,62,1,1.73
1,8,62,2,1.66
1,8,62,3,1.75
1,8,62,4,1.71
1,8,62,5,1.75
1,8,62,6,1.67
1,8,62,7,1.71
1,8,62,8,1.66
1,8,62,9,1.8
1,8,62,10,1.73
1,8,62,11,1.65
1,8,62,12,1.73
1,8,62,13,1.69
1,8,62,14,1.59
1,8,62,15,1.72
1,8,63,1,1.75
1,8,63,2,1.7
1,8,63,3,1.6
1,8,63,4,1.69
1,8,63,5,1.7
1,8,63,6,1.66
1,8,63,7,1.69
1,8,63,8,1.84
1,8,63,9,1.71
1,8,63,10,1.71
1,8,63,11,1.69
1,8,63,12,1.73
1,8,63,13,1.72
1,8,63,14,1.75
1,8,63,15,1.68
2,9,64,1,1.76
2,9,64,2,1.8
2,9,64,3,1.82
2,9,64,4,1.76
2,9,64,5,1.7
2,9,64,6,1.72
2,9,64,7,1.71
2,9,64,8,1.77
2,9,64,9,1.7
2,9,64,10,1.7
2,9,64,11,1.71
2,9,64,12,1.72
2,9,64,13,1.67
2,9,64,14,1.72
2,9,64,15,1.73
2,9,65,1,1.68
2,9,65,2,1.77
2,9,65,3,1.77
